Latitude,Longitude
40.658275,-73.94824
40.587522,-73.935416
40.648175,-74.00075
40.669544,-73.867318
40.61482,-74.029762
40.625873,-73.922972
40.613787,-73.980176
40.719969,-73.941017
40.660454,-73.926321
40.659152,-73.877402
40.655755,-73.865756
40.630106,-74.004103
40.659152,-73.877402
40.686978,-73.948452
40.669544,-73.867318
40.790877,-73.971358
40.854639,-73.927096
40.713111,-73.997868
40.708138,-74.004949
40.771099,-73.988274
40.795892,-73.971533
40.806197,-73.945206
40.797495,-73.932356
40.809371,-73.940808
40.817236,-73.943673
40.826809,-73.944037
40.763024,-73.949577
40.834467,-73.889871
40.814153,-73.955131
40.829367,-73.948935
40.835602,-73.844303
40.852969,-73.789466
40.581665,-74.077887
40.600107,-74.143614
40.533931,-74.15684
40.554664,-74.116786
40.628285,-74.124739
40.554719,-74.116732
40.602724,-74.131127
40.640488,-74.093511
40.594192,-74.147295
40.507442,-74.25417
40.605644,-74.133232
40.535237,-74.178133
40.594899,-74.066434
40.503933,-74.247375
40.594192,-74.147295
40.594192,-74.147295
40.608113,-74.085964
40.58887,-74.14332
40.54416,-74.1473
40.580744,-74.106575
40.594192,-74.147295
40.556561,-74.13606
40.51582,-74.196553
40.557401,-74.161239
40.594192,-74.147295
40.62076,-74.075246
40.536513,-74.194891
40.600107,-74.143614
40.630599,-74.138614
40.831775,-73.91675
40.874118,-73.82822
40.835921,-73.947954
40.869172,-73.850132
40.716159,-73.729634
40.691289,-73.985857
40.785876,-73.941933
40.78643,-73.941507
40.857439,-73.897544
40.851189,-73.907042
40.868864,-73.906218
40.746644,-73.993378
40.814113,-73.917794
40.772531,-73.980403
40.760793,-73.776243
40.76299,-73.802977
40.763024,-73.949577
40.692424,-73.769621
40.783733,-73.846443
40.738928,-73.997041
40.602405,-73.942601
40.660357,-73.90969
40.719553,-73.80373
40.719553,-73.80373
40.713505,-73.782999
40.751571,-73.724881
40.751571,-73.724881
40.751571,-73.724881
40.736907,-73.717339
40.751877,-73.705105
40.758467,-73.883716
40.719553,-73.80373
40.719553,-73.80373
40.719553,-73.80373
40.751571,-73.724881
40.719553,-73.80373
40.707536,-74.007362
40.648765,-73.974403
40.639148,-73.973964
40.707536,-74.007362
40.835313,-73.847643
40.676658,-73.998107
40.711386,-73.904799
40.736794,-73.810871
40.622457,-73.909526
40.773577,-73.931564
40.858795,-73.86322
40.539754,-74.178408
40.730853,-73.73617
40.794017,-73.971693
40.839715,-73.841138
40.839715,-73.841138
40.899539,-73.858539
40.80476,-73.937532
40.72832,-74.004719
40.587774,-73.952057
40.647235,-73.904209
40.604606,-73.76123
40.750059,-73.910128
40.752481,-73.931662
40.851257,-73.833542
40.754052,-73.998979
40.655755,-73.865756
40.587635,-73.959755
40.75592,-73.923122
40.614474,-73.937515
40.754052,-73.998979
40.878583,-73.879655
40.728692,-73.8425
40.739076,-74.004128
40.602092,-73.941874
40.665054,-73.84012
40.618353,-73.92458
40.635794,-73.945375
40.760004,-73.771704
40.754052,-73.998979
40.737407,-73.98789
40.878808,-73.84312
40.586354,-73.955648
40.717693,-73.769804
40.603207,-73.991764
40.835547,-73.850193
40.593796,-73.935108
40.83825,-73.835674
40.875584,-73.880232
40.724641,-73.983314
40.776689,-73.951636
40.87514,-73.878396
40.770863,-73.739445
40.769953,-73.731788
40.854403,-73.935407
40.833935,-73.845456
40.693475,-73.991428
40.693475,-73.991428
40.7136,-73.831263
40.836146,-73.846723
40.808096,-73.944768
